fopen()                         Abre un archiv.
fcloes()                        Cierra un archivo
fgets()                         Lee una cadena de un archivo
fputs()                         Escribe una cadena en un ApuntadorArchivo
fseek()                         Busca un byte especifico de un archivo
fprintf()                       Escribe una sañida con formato en el archivo
fscanf()                        Una entrada con formato desde el archivo.
feof()                          Devuelve cierto si se llega al final del archivo.
ferror()                        Devuelve cierto si se produce un error.
rewind()                        Coloca el localizador de posicion del archivo al principio del mismo.
remove()                        Borra un archivo.
fflush()                        Vacia un archivo
